Identifier,Has Disorder,Crystal different to Crystallographer Drawing (including Hydrogens),Crystal different to Crystallographer Drawing (excluding Hydrogens),Is Total Charge 0,Is Total Multiplicity 1
BATQEW,False,True,True,True,True
BAVDEJ,False,True,True,True,True
BAVVIG,True,True,True,True,True
BAVZOO,True,True,True,True,True
BAWBIL,True,True,True,True,True
BAXBIP,True,True,True,True,True
BAXBOV,True,True,True,True,True
BAXCEL,True,True,True,True,True
BAXHEO,False,True,True,True,True
BAXZOT,False,True,True,True,True
BAXZUZ,False,True,True,True,True
BAYBAI,False,True,True,True,True
BAYBEM,True,True,True,True,True
BAYBIQ,False,True,True,True,True
BAYBOW,False,False,False,True,True
BAYBUC,False,False,False,True,True
BAZCAK,False,True,True,True,True
BAZCEO,True,True,True,True,True
BAZCIS,True,True,True,True,True
BBZANT,False,True,True,True,True
BEANTR,False,True,True,True,True
BEBCOD,False,True,True,True,True
BEBNUV,True,True,True,True,True
BEBPAD,True,True,True,True,True
BEBPEH,True,True,True,True,True
BEBWIS,False,True,True,True,True
BECXIU,False,True,True,True,True
BEDBUK,False,True,True,True,True
BEDQEK,False,True,True,True,True
BEDQEK01,False,True,True,True,True
BEDREL,False,True,True,True,True
BEDXIR,False,True,True,True,True
BEDXOX,False,True,True,True,True
BEDYOA,True,True,True,True,True
BEDYUG,False,True,True,True,True
BEFTAH,False,True,True,True,True
BEFXAN,False,True,True,True,True
BEGJAA,True,True,True,True,True
BEGJEE,False,True,True,True,True
BEHRUD,True,True,True,True,True
BEHZOF,False,True,True,True,True
BEHZOF01,False,True,True,True,True
BEHZOF02,True,True,True,True,True
BELZIC,False,False,False,True,True
BELZOI,False,True,True,True,True
BELZOI01,False,True,True,True,True
BENANT,False,True,True,True,True
BENANT01,False,True,True,True,True
BENANT02,False,True,True,True,True
BENANT03,False,True,True,True,True
BENLUD,False,True,True,True,True
BENMAK,False,False,False,True,True
BEPSEW,False,True,True,True,True
BEPSOG,True,True,True,False,True
BEQYIG,False,True,True,True,True
BERCAD,False,True,True,True,True
BERCAD01,False,True,True,True,True
BERCEH,False,True,True,True,True
BERJAL,False,False,False,True,True
BESPEX,False,True,True,True,True
BESSEZ,False,True,True,True,True
BESSID,False,True,True,True,True
BESSOJ,False,True,True,True,True
BESSOJ01,False,True,True,True,True
BETBEI,False,True,True,True,True
BEVGOA,False,False,False,True,True
BEXYIO,False,True,True,True,True
BEXYOU,False,True,True,True,True
BEZGOE,False,True,True,True,True
BEZGOE01,False,True,True,True,True
BEZHAR,False,True,True,True,True
